table_marketing.age,table_marketing.sexe,table_marketing.taux,table_marketing.situationfamiliale,table_marketing.nbenfantsacharge,table_marketing.deuxieme_voiture,Catégorie
21,F,1396,Célibataire,0,false,Économique
35,M,223,Célibataire,0,false,Économique
48,M,401,Célibataire,0,false,Économique
26,F,420,En Couple,3,true,Sportive
80,M,530,En Couple,3,false,Sportive
27,F,153,En Couple,2,false,Citadine
59,F,572,En Couple,2,false,Citadine
43,F,431,Célibataire,0,false,Économique
64,M,559,Célibataire,0,false,Économique
22,M,154,En Couple,1,false,Citadine
79,F,981,En Couple,2,false,Familiale
55,M,588,Célibataire,0,false,Économique
19,F,212,Célibataire,0,false,Économique
34,F,1112,En Couple,0,false,Familiale
60,M,524,En Couple,0,true,Économique
22,M,411,En Couple,3,true,Sportive
58,M,1192,En Couple,0,false,Familiale
54,F,452,En Couple,3,true,Sportive
35,M,589,Célibataire,0,false,Économique
59,M,748,En Couple,0,true,Économique
